Id,SalePrice
1461,131169.48
1462,163018.7
1463,189181.4
1464,197469.16
1465,177599.89
1466,170761.45
1467,171253.05
1468,168201.48
1469,180903.56
1470,126117.99
1471,191609.67
1472,94103.05
1473,105917.36
1474,156174.88
1475,114028.87
1476,391228.84
1477,260015.22
1478,295436.78
1479,268697.66
1480,441893.2
1481,316440.0
1482,208206.89
1483,168907.78
1484,168258.33
1485,174693.0
1486,195578.36
1487,354030.66
1488,231121.06
1489,217654.47
1490,232061.03
1491,186602.11
1492,90289.734
1493,199292.98
1494,289275.1
1495,285797.78
1496,234133.4
1497,183585.64
1498,162065.45
1499,156715.92
1500,155927.67
1501,186558.98
1502,150218.23
1503,277536.4
1504,235614.0
1505,223671.19
1506,189731.2
1507,261339.55
1508,195580.38
1509,166432.14
1510,150068.22
1511,145916.97
1512,166645.53
1513,142457.5
1514,166039.94
1515,205417.06
1516,153533.61
1517,158450.53
1518,131465.34
1519,235130.66
1520,141208.67
1521,141353.08
1522,173343.5
1523,109824.87
1524,118343.18
1525,122407.27
1526,108025.75
1527,110796.13
1528,136264.78
1529,153989.84
1530,168975.25
1531,99108.92
1532,94738.08
1533,150546.1
1534,118205.414
1535,153990.95
1536,108114.53
1537,77321.04
1538,186544.44
1539,204437.08
1540,93885.055
1541,147373.23
1542,131836.39
1543,219100.97
1544,69850.625
1545,110189.25
1546,136533.72
1547,151171.78
1548,133550.14
1549,112742.27
1550,142040.44
1551,105843.18
1552,145067.4
1553,156504.84
1554,107822.69
1555,165501.75
1556,73685.99
1557,104495.59
1558,97253.72
1559,65888.0
1560,132088.6
1561,141672.14
1562,120375.125
1563,125316.97
1564,154472.58
1565,142019.52
1566,227493.67
1567,76362.76
1568,240236.98
1569,138886.6
1570,131460.61
1571,119643.375
1572,145444.47
1573,241996.38
1574,103017.68
1575,218714.1
1576,236559.3
1577,200428.58
1578,158572.17
1579,149087.1
1580,186055.7
1581,143097.69
1582,127656.63
1583,321938.84
1584,231260.47
1585,142779.75
1586,72967.35
1587,84915.57
1588,155407.34
1589,91400.29
1590,128359.125
1591,90587.805
1592,108874.6
1593,132114.8
1594,139582.64
1595,112257.71
1596,232240.33
1597,186760.42
1598,207874.84
1599,171771.92
1600,168706.47
1601,71716.35
1602,118907.93
1603,72387.25
1604,274592.47
1605,230403.16
1606,162217.27
1607,165750.34
1608,208425.0
1609,194717.66
1610,166439.97
1611,132914.95
1612,176705.75
1613,164991.77
1614,127417.71
1615,92028.99
